tender_no,award_date,awarded_amt,tender_detail_status,tender_date,tender_value,LDA_Category
NEA000ETT20300020,11/12/2020,418035.2,Awarded by Items,2020-12-11,418035.2,Engineering Procurement - Services
NEA000ETT20300021,23/4/2020,92515.8,Awarded to Suppliers,2020-04-23,92515.8,Engineering Procurement - Goods
NEA000ETT20300023,8/12/2020,45300000,Awarded to Suppliers,2020-12-08,45300000,General Procurement - Goods
NEA000ETT20300024,6/7/2020,163368,Awarded by Items,2020-07-06,163368,General Procurement - Goods
NEA000ETT20300024,6/7/2020,12600,Awarded by Items,2020-07-06,12600,General Procurement - Goods
NEA000ETT20300025,6/7/2020,112000,Awarded by Items,2020-07-06,112000,PPP Procurement - DBO
NEA000ETT20300025,6/7/2020,157680,Awarded by Items,2020-07-06,157680,PPP Procurement - DBO
NEA000ETT20300026,22/7/2020,704150,Awarded to Suppliers,2020-07-22,704150,Engineering Procurement - EPC
NEA000ETT20300029,14/7/2020,85000,Awarded to Suppliers,2020-07-14,85000,General Procurement - Goods
NEA000ETT20300030,29/6/2020,244300,Awarded to Suppliers,2020-06-29,244300,General Procurement - Goods
NEA000ETT20300031,11/1/2021,131453.62,Awarded to Suppliers,2021-01-11,131453.62,Engineering Procurement - EPC
NEA000ETT20300032,3/12/2020,708100,Awarded to Suppliers,2020-12-03,708100,Engineering Procurement - Goods
NEA000ETT20300034,30/7/2021,428077651,Awarded to Suppliers,2021-07-30,428077651,Engineering Procurement - Goods
NEA000ETT20300036,30/12/2020,1788888,Awarded to Suppliers,2020-12-30,1788888,General Procurement - Services
NEA000ETT20300037,14/10/2020,336000,Awarded to Suppliers,2020-10-14,336000,Engineering Procurement - Services
NEA000ETT20300044,17/11/2020,193905,Awarded to Suppliers,2020-11-17,193905,PPP Procurement - DBFO
NEA000ETT20300045,10/9/2020,21895000,Awarded to Suppliers,2020-09-10,21895000,General Procurement - Services
NEA000ETT20300046,21/10/2020,671080,Awarded by Items,2020-10-21,671080,PPP Procurement - DBFO
NEA000ETT20300046,21/10/2020,397513.6,Awarded by Items,2020-10-21,397513.6,PPP Procurement - DBFO
NEA000ETT20300046,21/10/2020,379184.47,Awarded by Items,2020-10-21,379184.47,PPP Procurement - DBFO
NEA000ETT20300049,30/9/2020,96740,Awarded to Suppliers,2020-09-30,96740,Engineering Procurement - EPC
NEA000ETT20300050,21/12/2020,180000,Awarded to Suppliers,2020-12-21,180000,General Procurement - Services
NEA000ETT20300051,1/9/2020,166400,Awarded to Suppliers,2020-09-01,166400,Engineering Procurement - EPC
NEA000ETT20300052,11/2/2021,81571055,Awarded to Suppliers,2021-02-11,81571055,Engineering Procurement - Goods
NEA000ETT20300056,26/8/2020,3603502,Awarded to Suppliers,2020-08-26,3603502,General Procurement - Services
NEA000ETT20300057,11/1/2021,319028892,Awarded to Suppliers,2021-01-11,319028892,General Procurement - Goods
NEA000ETT20300058,8/9/2020,240645,Awarded to Suppliers,2020-09-08,240645,General Procurement - Services
NEA000ETT20300060,14/10/2020,65600,Awarded to Suppliers,2020-10-14,65600,Engineering Procurement - EPC
NEA000ETT20300061,30/11/2020,5000000,Awarded to Suppliers,2020-11-30,506,General Procurement - Services
NEA000ETT20300062,30/11/2020,240600,Awarded to Suppliers,2020-11-30,240600,General Procurement - Services
NEA000ETT20300064,19/10/2020,70800,Awarded to Suppliers,2020-10-19,70800,Engineering Procurement - Goods
NEA000ETT20300067,28/12/2020,216583.46,Awarded to Suppliers,2020-12-28,216583.46,General Procurement - Goods
NEA000ETT20300068,1/3/2021,3426300,Awarded to Suppliers,2021-03-01,3426300,General Procurement - Services
NEA000ETT20300111,1/12/2020,501600,Awarded to Suppliers,2020-12-01,501600,PPP Procurement - DBFO
NEA000ETT20300112,14/1/2021,516000,Awarded to Suppliers,2021-01-14,516000,Engineering Procurement - Services
NEA000ETT20300113,25/11/2020,3296300,Awarded to Suppliers,2020-11-25,3296300,General Procurement - Goods
NEA000ETT20300114,18/2/2021,5916055.2,Awarded to Suppliers,2021-02-18,5916055.2,General Procurement - Services
NEA000ETT20300116,22/12/2020,1115720,Awarded by Items,2020-12-22,1115720,General Procurement - Goods
NEA000ETT20300116,22/12/2020,812321,Awarded by Items,2020-12-22,812321,General Procurement - Goods
NEA000ETT20300117,22/10/2020,88005,Awarded to Suppliers,2020-10-22,88005,Engineering Procurement - EPC
NEA000ETT20300118,26/1/2021,701600,Awarded to Suppliers,2021-01-26,701600,General Procurement - Services
NEA000ETT20300119,18/3/2021,504272,Awarded to Suppliers,2021-03-18,504272,General Procurement - Services
NEA000ETT20300142,14/1/2021,10300,Awarded by Items,2021-01-14,10300,General Procurement - Services
NEA000ETT20300142,14/1/2021,136000,Awarded by Items,2021-01-14,136000,General Procurement - Services
NEA000ETT20300143,25/3/2021,2735600,Awarded to Suppliers,2021-03-25,2735600,Engineering Procurement - Services
NEA000ETT20300186,12/3/2021,553300,Awarded to Suppliers,2021-03-12,553300,General Procurement - Services
NEA000ETT20300189,28/1/2021,403200,Awarded to Suppliers,2021-01-28,403200,Engineering Procurement - Services
NEA000ETT20300192,11/12/2020,307554,Awarded by Items,2020-12-11,307554,Engineering Procurement - EPC
NEA000ETT20300192,11/12/2020,47125.74,Awarded by Items,2020-12-11,47125.74,Engineering Procurement - EPC
NEA000ETT20300192,11/12/2020,29964.8,Awarded by Items,2020-12-11,29964.8,Engineering Procurement - EPC
NEA000ETT20300203,17/6/2021,1129.2,Awarded by Items,2021-06-17,1129.2,Engineering Procurement - Services
NEA000ETT20300203,17/6/2021,5793,Awarded by Items,2021-06-17,5793,Engineering Procurement - Services
NEA000ETT20300203,17/6/2021,66169.04,Awarded by Items,2021-06-17,66169.04,Engineering Procurement - Services
NEA000ETT20300204,2/2/2021,255700,Awarded to Suppliers,2021-02-02,255700,Engineering Procurement - EPC
NEA000ETT20300205,9/12/2020,299264,Awarded to Suppliers,2020-12-09,299264,Engineering Procurement - EPC
NEA000ETT20300206,17/3/2021,2764,Awarded by Items,2021-03-17,2764,General Procurement - Services
NEA000ETT20300206,17/3/2021,69002,Awarded by Items,2021-03-17,69002,General Procurement - Services
NEA000ETT20300206,17/3/2021,156545.82,Awarded by Items,2021-03-17,156545.82,General Procurement - Services
NEA000ETT20300207,29/12/2020,609500,Awarded to Suppliers,2020-12-29,609500,PPP Procurement - DBO
NEA000ETT20300208,4/3/2021,1154812,Awarded to Suppliers,2021-03-04,1154812,Engineering Procurement - EPC
NEA000ETT20300210,1/4/2021,599051,Awarded to Suppliers,2021-04-01,599051,General Procurement - Goods
NEA000ETT20300211,10/3/2021,396600,Awarded to Suppliers,2021-03-10,396600,PPP Procurement - DBO
NEA000ETT20300212,17/6/2021,362500,Awarded to Suppliers,2021-06-17,362500,PPP Procurement - DBFO
NEA000ETT20300213,23/12/2020,181640,Awarded to Suppliers,2020-12-23,181640,Engineering Procurement - Services
NEA000ETT20300240,27/4/2021,36875,Awarded by Items,2021-04-27,36875,PPP Procurement - DBFO
NEA000ETT20300240,27/4/2021,2760,Awarded by Items,2021-04-27,2760,PPP Procurement - DBFO
NEA000ETT20300240,27/4/2021,379172,Awarded by Items,2021-04-27,379172,PPP Procurement - DBFO
NEA000ETT20300240,27/4/2021,4720,Awarded by Items,2021-04-27,4720,PPP Procurement - DBFO
NEA000ETT20300247,12/3/2021,391100,Awarded to Suppliers,2021-03-12,391100,General Procurement - Goods
NEA000ETT20300248,18/3/2021,713000,Awarded to Suppliers,2021-03-18,713000,General Procurement - Services
NEA000ETT20300254,29/12/2020,539833,Awarded to Suppliers,2020-12-29,539833,Engineering Procurement - EPC
NEA000ETT20300255,10/3/2021,2187900,Awarded by Items,2021-03-10,2187900,PPP Procurement - DBFO
NEA000ETT20300255,10/3/2021,2356150,Awarded by Items,2021-03-10,2356150,PPP Procurement - DBFO
NEA000ETT20300256,2/2/2021,774225,Awarded to Suppliers,2021-02-02,774225,Engineering Procurement - EPC
NEA000ETT20300257,12/3/2021,5571600,Awarded to Suppliers,2021-03-12,5571600,Engineering Procurement - EPC
NEA000ETT20300258,13/4/2021,138000,Awarded to Suppliers,2021-04-13,138000,Engineering Procurement - Goods
NEA000ETT20300261,22/2/2021,187925,Awarded to Suppliers,2021-02-22,187925,PPP Procurement - DBFO
NEA000ETT20300262,25/2/2021,2042702,Awarded to Suppliers,2021-02-25,2042702,Engineering Procurement - EPC
NEA000ETT20300263,24/5/2021,159996984,Awarded to Suppliers,2021-05-24,159996984,Engineering Procurement - Services
NEA000ETT20300264,5/8/2021,678600,Awarded to Suppliers,2021-08-05,678600,Engineering Procurement - EPC
NEA000ETT20300265,26/2/2021,3318060,Awarded to Suppliers,2021-02-26,3318060,Engineering Procurement - EPC
NEA000ETT20300266,4/3/2021,228500,Awarded to Suppliers,2021-03-04,228500,Engineering Procurement - EPC
NEA000ETT20300267,9/2/2021,686070,Awarded by Items,2021-02-09,686070,PPP Procurement - DBFO
NEA000ETT20300267,9/2/2021,3600980,Awarded by Items,2021-02-09,3600980,PPP Procurement - DBFO
NEA000ETT21000001,6/5/2021,322700,Awarded by Items,2021-05-06,322700,Engineering Procurement - Services
NEA000ETT21000001,6/5/2021,267850,Awarded by Items,2021-05-06,267850,Engineering Procurement - Services
NEA000ETT21000001,6/5/2021,392252,Awarded by Items,2021-05-06,392252,Engineering Procurement - Services
NEA000ETT21000002,9/4/2021,234360,Awarded to Suppliers,2021-04-09,234360,Engineering Procurement - EPC
NEA000ETT21000004,9/3/2021,48246,Awarded to Suppliers,2021-03-09,48246,General Procurement - Goods
NEA000ETT21000005,22/6/2021,14300,Awarded by Items,2021-06-22,14300,Engineering Procurement - EPC
NEA000ETT21000005,22/6/2021,18311.44,Awarded by Items,2021-06-22,18311.44,Engineering Procurement - EPC
NEA000ETT21000005,22/6/2021,14306,Awarded by Items,2021-06-22,14306,Engineering Procurement - EPC
NEA000ETT21000005,22/6/2021,158490,Awarded by Items,2021-06-22,158490,Engineering Procurement - EPC
NEA000ETT21000005,22/6/2021,6800,Awarded by Items,2021-06-22,6800,Engineering Procurement - EPC
NEA000ETT21000005,22/6/2021,26992,Awarded by Items,2021-06-22,26992,Engineering Procurement - EPC
NEA000ETT21000006,10/12/2021,1545876,Awarded to Suppliers,2021-12-10,1545876,Engineering Procurement - Services
NEA000ETT21000007,6/5/2021,105000,Awarded to Suppliers,2021-05-06,105000,PPP Procurement - DBO
NEA000ETT21000008,18/5/2021,180899,Awarded to Suppliers,2021-05-18,180899,Engineering Procurement - EPC
NEA000ETT21000009,5/5/2021,1508888,Awarded to Suppliers,2021-05-05,1508888,General Procurement - Services
NEA000ETT21000010,21/7/2021,675720,Awarded to Suppliers,2021-07-21,675720,General Procurement - Services
NEA000ETT21000012,30/11/2021,315772,Awarded by Items,2021-11-30,315772,PPP Procurement - DBO
NEA000ETT21000012,30/11/2021,1047326,Awarded by Items,2021-11-30,1047326,PPP Procurement - DBO
NEA000ETT21000017,6/8/2021,105500,Awarded by Items,2021-08-06,105500,Engineering Procurement - Services
NEA000ETT21000017,6/8/2021,11500,Awarded by Items,2021-08-06,11500,Engineering Procurement - Services
NEA000ETT21000018,6/12/2021,308318,Awarded to Suppliers,2021-12-06,308318,Engineering Procurement - Services
NEA000ETT21000021,24/6/2021,2630000,Awarded by Items,2021-06-24,2630000,General Procurement - Services
NEA000ETT21000021,24/6/2021,2198499,Awarded by Items,2021-06-24,2198499,General Procurement - Services
NEA000ETT21000106,29/4/2022,885385,Awarded to Suppliers,2022-04-29,885385,Engineering Procurement - EPC
NEA000ETT21000022,17/6/2021,521750,Awarded by Items,2021-06-17,521750,Engineering Procurement - Services
NEA000ETT21000022,17/6/2021,844750,Awarded by Items,2021-06-17,844750,Engineering Procurement - Services
NEA000ETT21000023,28/5/2021,1707660,Awarded to Suppliers,2021-05-28,1707660,PPP Procurement - DBFO
NEA000ETT21000024,30/7/2021,11372760,Awarded to Suppliers,2021-07-30,11372760,Engineering Procurement - Services
NEA000ETT21000026,21/5/2021,5286720,Awarded to Suppliers,2021-05-21,5286720,Engineering Procurement - EPC
NEA000ETT21000027,30/7/2021,147465,Awarded to Suppliers,2021-07-30,147465,General Procurement - Goods
NEA000ETT21000028,26/8/2021,229200,Awarded to Suppliers,2021-08-26,229200,Engineering Procurement - Services
NEA000ETT21000029,18/8/2021,240999039,Awarded to Suppliers,2021-08-18,240999039,Engineering Procurement - Services
NEA000ETT21000031,6/5/2021,112200,Awarded to Suppliers,2021-05-06,112200,Engineering Procurement - EPC
NEA000ETT21000032,28/7/2021,1547587,Awarded to Suppliers,2021-07-28,1547587,PPP Procurement - DBO
NEA000ETT21000033,1/7/2021,475620,Awarded by Items,2021-07-01,475620,Engineering Procurement - EPC
NEA000ETT21000033,1/7/2021,33600,Awarded by Items,2021-07-01,33600,Engineering Procurement - EPC
NEA000ETT21000033,1/7/2021,55200,Awarded by Items,2021-07-01,55200,Engineering Procurement - EPC
NEA000ETT21000033,1/7/2021,1416660,Awarded by Items,2021-07-01,1416660,Engineering Procurement - EPC
NEA000ETT21000033,1/7/2021,1125240,Awarded by Items,2021-07-01,1125240,Engineering Procurement - EPC
NEA000ETT21000034,1/6/2021,624000,Awarded to Suppliers,2021-06-01,624000,Engineering Procurement - EPC
NEA000ETT21000036,14/1/2022,197965.6,Awarded to Suppliers,2022-01-14,197965.6,Engineering Procurement - EPC
NEA000ETT21000039,5/4/2022,99500880,Awarded to Suppliers,2022-04-05,99500880,Engineering Procurement - Goods
NEA000ETT21000041,6/8/2021,2700000,Awarded to Suppliers,2021-08-06,2700000,General Procurement - Services
NEA000ETT21000044,3/12/2021,6199982.4,Awarded to Suppliers,2021-12-03,6199982.4,PPP Procurement - DBO
NEA000ETT21000045,22/12/2021,9468889,Awarded to Suppliers,2021-12-22,9468889,Engineering Procurement - Services
NEA000ETT21000047,24/9/2021,756000,Awarded to Suppliers,2021-09-24,756000,General Procurement - Goods
NEA000ETT21000048,4/8/2021,130681.13,Awarded to Suppliers,2021-08-04,130681.13,General Procurement - Services
NEA000ETT21000049,16/8/2021,124470,Awarded to Suppliers,2021-08-16,124470,PPP Procurement - DBO
NEA000ETT21000050,15/11/2021,1132280,Awarded to Suppliers,2021-11-15,1132280,PPP Procurement - DBFO
NEA000ETT21000051,14/4/2022,182500,Awarded by Items,2022-04-14,182500,Engineering Procurement - Services
NEA000ETT21000051,14/4/2022,291548.4,Awarded by Items,2022-04-14,291548.4,Engineering Procurement - Services
NEA000ETT21000052,30/9/2021,690594,Awarded to Suppliers,2021-09-30,690594,General Procurement - Goods
NEA000ETT21000053,22/9/2021,39000,Awarded to Suppliers,2021-09-22,39000,Engineering Procurement - Goods
NEA000ETT21000054,2/12/2021,21014226.8,Awarded to Suppliers,2021-12-02,21014226.8,General Procurement - Services
NEA000ETT21000060,16/9/2021,113700,Awarded to Suppliers,2021-09-16,113700,Engineering Procurement - Services
NEA000ETT21000070,20/12/2021,252620,Awarded to Suppliers,2021-12-20,252620,Engineering Procurement - Services
NEA000ETT21000074,25/11/2021,599000,Awarded to Suppliers,2021-11-25,599000,Engineering Procurement - Services
NEA000ETT21000075,18/11/2021,1047689,Awarded to Suppliers,2021-11-18,1047689,Engineering Procurement - EPC
NEA000ETT21000077,18/3/2022,8865391.16,Awarded to Suppliers,2022-03-18,8865391.16,Engineering Procurement - Services
NEA000ETT21000078,14/6/2022,270000,Awarded by Items,2022-06-14,270000,Engineering Procurement - Services
NEA000ETT21000078,14/6/2022,446212.8,Awarded by Items,2022-06-14,446212.8,Engineering Procurement - Services
NEA000ETT21000078,14/6/2022,100598.4,Awarded by Items,2022-06-14,100598.4,Engineering Procurement - Services
NEA000ETT21000079,9/4/2022,2550,Awarded by Items,2022-04-09,2550,Engineering Procurement - Services
NEA000ETT21000079,9/4/2022,4940,Awarded by Items,2022-04-09,4940,Engineering Procurement - Services
NEA000ETT21000079,9/4/2022,239721.2,Awarded by Items,2022-04-09,239721.2,Engineering Procurement - Services
NEA000ETT21000079,9/4/2022,127726,Awarded by Items,2022-04-09,127726,Engineering Procurement - Services
NEA000ETT21000079,9/4/2022,12960,Awarded by Items,2022-04-09,12960,Engineering Procurement - Services
NEA000ETT21000080,26/1/2022,2102002.15,Awarded to Suppliers,2022-01-26,2102002.15,Engineering Procurement - EPC
NEA000ETT21000082,15/3/2022,5088000,Awarded to Suppliers,2022-03-15,5088000,Engineering Procurement - Services
NEA000ETT21000086,4/1/2022,2465400,Awarded to Suppliers,2022-01-04,2465400,Engineering Procurement - Services
NEA000ETT21000087,8/4/2022,6084344,Awarded to Suppliers,2022-04-08,6084344,Engineering Procurement - Services
NEA000ETT21000088,19/5/2022,7663100,Awarded to Suppliers,2022-05-19,7663100,Engineering Procurement - Goods
NEA000ETT21000089,11/3/2022,408825,Awarded to Suppliers,2022-03-11,408825,General Procurement - Goods
NEA000ETT21000090,10/12/2021,1130764.8,Awarded to Suppliers,2021-12-10,1130764.8,General Procurement - Services
NEA000ETT21000091,20/4/2022,8308080,Awarded to Suppliers,2022-04-20,8308080,General Procurement - Services
NEA000ETT21000092,4/4/2022,1073200,Awarded to Suppliers,2022-04-04,1073200,Engineering Procurement - EPC
NEA000ETT21000093,20/12/2021,198500,Awarded to Suppliers,2021-12-20,198500,General Procurement - Services
NEA000ETT21000096,18/7/2022,842580,Awarded by Items,2022-07-18,842580,PPP Procurement - DBO
NEA000ETT21000096,18/7/2022,28910,Awarded by Items,2022-07-18,28910,PPP Procurement - DBO
NEA000ETT21000097,20/1/2022,18610220,Awarded to Suppliers,2022-01-20,18610220,General Procurement - Services
NEA000ETT21000100,14/1/2022,240905,Awarded to Suppliers,2022-01-14,240905,PPP Procurement - DBFO
NEA000ETT21000101,13/12/2021,84727.5,Awarded to Suppliers,2021-12-13,84727.5,General Procurement - Goods
NEA000ETT21000102,24/12/2021,231100,Awarded to Suppliers,2021-12-24,231100,General Procurement - Goods
NEA000ETT21000105,8/4/2022,6482,Awarded by Items,2022-04-08,6482,General Procurement - Goods
NEA000ETT21000105,8/4/2022,3482.9,Awarded by Items,2022-04-08,3482.9,General Procurement - Goods
NEA000ETT21000105,8/4/2022,6626,Awarded by Items,2022-04-08,6626,General Procurement - Goods
NEA000ETT21000105,8/4/2022,10683,Awarded by Items,2022-04-08,10683,General Procurement - Goods
NEA000ETT21000105,8/4/2022,30220,Awarded by Items,2022-04-08,30220,General Procurement - Goods
NEA000ETT21000105,8/4/2022,494255.31,Awarded by Items,2022-04-08,494255.31,General Procurement - Goods
NEA000ETT21000105,8/4/2022,14335,Awarded by Items,2022-04-08,14335,General Procurement - Goods
NEA000ETT21000105,8/4/2022,103550,Awarded by Items,2022-04-08,103550,General Procurement - Goods
NEA000ETT21000109,14/2/2022,7269686.7,Awarded by Items,2022-02-14,7269686.7,General Procurement - Services
NEA000ETT21000109,14/2/2022,5820660.24,Awarded by Items,2022-02-14,5820660.24,General Procurement - Services
NEA000ETT21000109,14/2/2022,6977829,Awarded by Items,2022-02-14,6977829,General Procurement - Services
NEA000ETT21000109,14/2/2022,7503888,Awarded by Items,2022-02-14,7503888,General Procurement - Services
NEA000ETT21000110,22/6/2022,836161.5,Awarded to Suppliers,2022-06-22,836161.5,General Procurement - Services
NEA000ETT21000111,12/5/2022,497544.58,Awarded to Suppliers,2022-05-12,497544.58,PPP Procurement - DBO
NEA000ETT21000112,28/7/2022,384372.29,Awarded to Suppliers,2022-07-28,384372.29,PPP Procurement - DBO
NEA000ETT21000113,25/8/2022,99560.3,Awarded by Items,2022-08-25,99560.3,PPP Procurement - DBO
NEA000ETT21000113,25/8/2022,30710.4,Awarded by Items,2022-08-25,30710.4,PPP Procurement - DBO
NEA000ETT21000115,11/4/2022,624000,Awarded to Suppliers,2022-04-11,624000,PPP Procurement - DBO
NEA000ETT21000116,16/3/2022,430560,Awarded to Suppliers,2022-03-16,430560,PPP Procurement - DBO
NEA000ETT21000118,31/5/2022,1411648,Awarded to Suppliers,2022-05-31,1411648,General Procurement - Goods
NEA000ETT21000119,13/4/2022,495000,Awarded to Suppliers,2022-04-13,495000,PPP Procurement - DBFO
NEA000ETT21000120,9/3/2022,253520,Awarded to Suppliers,2022-03-09,253520,Engineering Procurement - Goods
NEA000ETT21000122,20/6/2022,5130,Awarded by Items,2022-06-20,5130,Engineering Procurement - EPC
NEA000ETT21000122,20/6/2022,402505,Awarded by Items,2022-06-20,402505,Engineering Procurement - EPC
NEA000ETT21000122,20/6/2022,3805,Awarded by Items,2022-06-20,3805,Engineering Procurement - EPC
NEA000ETT22000001,23/11/2022,175206806.5,Awarded to Suppliers,2022-11-23,175206806.5,PPP Procurement - DBFO
NEA000ETT22000002,6/4/2022,1710000,Awarded to Suppliers,2022-04-06,1710000,PPP Procurement - DBFO
NEA000ETT22000005,11/4/2022,264778.1,Awarded to Suppliers,2022-04-11,264778.1,Engineering Procurement - Services
NEA000ETT22000007,20/6/2022,448000,Awarded to Suppliers,2022-06-20,448000,Engineering Procurement - EPC
NEA000ETT22000008,29/8/2022,407120,Awarded to Suppliers,2022-08-29,407120,Engineering Procurement - EPC
NEA000ETT22000009,7/10/2022,1528600,Awarded to Suppliers,2022-10-07,1528600,General Procurement - Goods
NEA000ETT22000011,12/5/2022,537880,Awarded to Suppliers,2022-05-12,537880,Engineering Procurement - Services
NEA000ETT22000012,30/5/2022,2380400,Awarded by Items,2022-05-30,2380400,General Procurement - Services
NEA000ETT22000012,30/5/2022,3364000,Awarded by Items,2022-05-30,3364000,General Procurement - Services
NEA000ETT22000015,30/5/2022,1480000,Awarded to Suppliers,2022-05-30,1480000,General Procurement - Services
NEA000ETT22000016,27/4/2022,232200,Awarded to Suppliers,2022-04-27,232200,Engineering Procurement - Goods
NEA000ETT22000017,19/9/2022,978160,Awarded to Suppliers,2022-09-19,978160,General Procurement - Services
NEA000ETT22000018,25/8/2022,97850,Awarded to Suppliers,2022-08-25,97850,PPP Procurement - DBFO
NEA000ETT22000019,29/7/2022,338000,Awarded to Suppliers,2022-07-29,338000,Engineering Procurement - EPC
NEA000ETT22000020,21/9/2022,616200,Awarded to Suppliers,2022-09-21,616200,General Procurement - Services
NEA000ETT22000021,19/8/2022,34701982,Awarded to Suppliers,2022-08-19,34701982,Engineering Procurement - Services
NEA000ETT22000022,25/5/2022,155000,Awarded to Suppliers,2022-05-25,155000,Engineering Procurement - EPC
NEA000ETT22000023,3/10/2022,22777260,Awarded by Items,2022-10-03,22777260,General Procurement - Services
NEA000ETT22000023,3/10/2022,41295420,Awarded by Items,2022-10-03,41295420,General Procurement - Services
NEA000ETT22000024,24/5/2022,530320,Awarded to Suppliers,2022-05-24,530320,Engineering Procurement - Services
NEA000ETT22000025,17/11/2022,4470806.5,Awarded to Suppliers,2022-11-17,4470806.5,Engineering Procurement - EPC
NEA000ETT22000026,28/7/2022,5336800,Awarded by Items,2022-07-28,5336800,Engineering Procurement - Services
NEA000ETT22000026,28/7/2022,3190775,Awarded by Items,2022-07-28,3190775,Engineering Procurement - Services
NEA000ETT22000027,5/9/2022,597000,Awarded to Suppliers,2022-09-05,597000,PPP Procurement - DBO
NEA000ETT22000028,2/3/2023,7079257.15,Awarded to Suppliers,2023-03-02,7079257.15,Engineering Procurement - Services
NEA000ETT22000030,27/10/2022,328000,Awarded to Suppliers,2022-10-27,328000,General Procurement - Services
NEA000ETT22000034,20/10/2022,460890,Awarded to Suppliers,2022-10-20,460890,Engineering Procurement - EPC
NEA000ETT22000035,11/8/2022,72500,Awarded to Suppliers,2022-08-11,72500,PPP Procurement - DBO
NEA000ETT22000036,9/12/2022,223030,Awarded to Suppliers,2022-12-09,223030,Engineering Procurement - Services
NEA000ETT22000037,23/8/2022,30138,Awarded by Items,2022-08-23,30138,PPP Procurement - DBO
NEA000ETT22000037,23/8/2022,4452,Awarded by Items,2022-08-23,4452,PPP Procurement - DBO
NEA000ETT22000037,23/8/2022,3200,Awarded by Items,2022-08-23,3200,PPP Procurement - DBO
NEA000ETT22000037,23/8/2022,4840,Awarded by Items,2022-08-23,4840,PPP Procurement - DBO
NEA000ETT22000038,13/9/2022,3487000,Awarded to Suppliers,2022-09-13,3487000,PPP Procurement - DBFO
NEA000ETT22000039,24/8/2022,425190,Awarded to Suppliers,2022-08-24,425190,General Procurement - Goods
NEA000ETT22000040,2/8/2022,3584400,Awarded to Suppliers,2022-08-02,3584400,General Procurement - Goods
NEA000ETT22000041,7/10/2022,590000,Awarded to Suppliers,2022-10-07,590000,Engineering Procurement - EPC
NEA000ETT22000043,28/10/2022,222300,Awarded to Suppliers,2022-10-28,222300,Engineering Procurement - EPC
NEA000ETT22000044,19/1/2023,1072500,Awarded by Items,2023-01-19,1072500,General Procurement - Goods
NEA000ETT22000044,19/1/2023,666679,Awarded by Items,2023-01-19,666679,General Procurement - Goods
NEA000ETT22000045,7/11/2022,161200,Awarded to Suppliers,2022-11-07,161200,Engineering Procurement - EPC
NEA000ETT22000048,30/9/2022,702050,Awarded to Suppliers,2022-09-30,702050,Engineering Procurement - Services
NEA000ETT22000049,12/1/2023,1402240,Awarded to Suppliers,2023-01-12,1402240,Engineering Procurement - Goods
NEA000ETT22000050,21/8/2023,9975,Awarded by Items,2023-08-21,9975,Engineering Procurement - Goods
NEA000ETT22000050,21/8/2023,3975000,Awarded by Items,2023-08-21,3975000,Engineering Procurement - Goods
NEA000ETT22000051,29/1/2024,43616,Awarded by Items,2024-01-29,43616,Engineering Procurement - Services
NEA000ETT22000051,29/1/2024,152580,Awarded by Items,2024-01-29,152580,Engineering Procurement - Services
NEA000ETT22000051,29/1/2024,42927,Awarded by Items,2024-01-29,42927,Engineering Procurement - Services
NEA000ETT22000051,29/1/2024,122844,Awarded by Items,2024-01-29,122844,Engineering Procurement - Services
NEA000ETT22000051,29/1/2024,9600,Awarded by Items,2024-01-29,9600,Engineering Procurement - Services
NEA000ETT22000052,21/12/2022,2123466,Awarded by Items,2022-12-21,2123466,Engineering Procurement - EPC
NEA000ETT22000052,21/12/2022,89240,Awarded by Items,2022-12-21,89240,Engineering Procurement - EPC
NEA000ETT22000054,20/12/2022,3012720,Awarded to Suppliers,2022-12-20,3012720,General Procurement - Services
NEA000ETT22000055,10/5/2023,8326531,Awarded to Suppliers,2023-05-10,8326531,PPP Procurement - DBO
NEA000ETT22000056,23/11/2022,360000,Awarded to Suppliers,2022-11-23,360000,Engineering Procurement - Services
NEA000ETT22000057,20/12/2022,19175000,Awarded to Suppliers,2022-12-20,19175000,General Procurement - Services
NEA000ETT22000058,18/11/2022,81932,Awarded to Suppliers,2022-11-18,81932,PPP Procurement - DBFO
NEA000ETT22000059,17/3/2023,77848.01,Awarded to Suppliers,2023-03-17,77848.01,Engineering Procurement - EPC
NEA000ETT22000060,16/2/2023,488000,Awarded to Suppliers,2023-02-16,488000,General Procurement - Goods
NEA000ETT22000064,21/7/2023,24667.2,Awarded by Items,2023-07-21,24667.2,Engineering Procurement - Services
NEA000ETT22000064,21/7/2023,34115,Awarded by Items,2023-07-21,34115,Engineering Procurement - Services
NEA000ETT22000064,21/7/2023,30884,Awarded by Items,2023-07-21,30884,Engineering Procurement - Services
NEA000ETT22000064,21/7/2023,33933.32,Awarded by Items,2023-07-21,33933.32,Engineering Procurement - Services
NEA000ETT22000066,21/2/2023,2560000,Awarded to Suppliers,2023-02-21,2560000,PPP Procurement - DBFO
NEA000ETT22000067,21/2/2023,1922000,Awarded by Items,2023-02-21,1922000,General Procurement - Services
NEA000ETT22000067,21/2/2023,4568000,Awarded by Items,2023-02-21,4568000,General Procurement - Services
NEA000ETT22000068,20/2/2023,23439928,Awarded to Suppliers,2023-02-20,23439928,General Procurement - Services
NEA000ETT22000069,21/12/2022,82324.5,Awarded to Suppliers,2022-12-21,82324.5,General Procurement - Goods
